task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
System Idle Process,409,0,0,0,unknown,medium
System,15,0,100,0,unknown,medium
Registry,0,0,100,14972,unknown,medium
browser.exe,0,0,100,14898,low,medium
browser.exe,0,0,100,14899,low,medium
svchost.exe,0,0,4,14965,unknown,medium
Code.exe,0,1,10,87,low,medium
smss.exe,0,0,0,14971,unknown,medium
pet.exe,0,0,0,61,low,medium
WUDFHost.exe,0,0,5,14965,unknown,medium
csrss.exe,0,0,0,14966,unknown,medium
wininit.exe,0,0,0,14966,unknown,medium
csrss.exe,0,0,1,14966,unknown,medium
services.exe,0,0,0,14966,unknown,medium
lsass.exe,0,0,0,14966,unknown,medium
winlogon.exe,0,0,0,14966,unknown,medium
fontdrvhost.exe,0,0,0,14966,unknown,medium
fontdrvhost.exe,0,0,0,14966,unknown,medium
svchost.exe,0,0,0,14966,unknown,medium
svchost.exe,0,0,0,14966,unknown,medium
msedgewebview2.exe,0,0,67,14856,low,medium
WUDFHost.exe,0,0,0,14966,unknown,medium
browser.exe,0,3,59,641,low,medium
svchost.exe,0,0,0,14966,unknown,medium
vpncmgr_x64.exe,0,0,9,14936,low,medium
browser.exe,0,3,100,2546,low,medium
browser.exe,0,0,27,14896,low,medium
svchost.exe,0,0,0,14967,unknown,medium
svchost.exe,0,0,88,14967,unknown,medium
svchost.exe,0,0,0,14967,unknown,medium
svchost.exe,0,0,0,14967,unknown,medium
audiodg.exe,0,0,0,12276,low,medium
dwm.exe,0,0,10,14967,unknown,medium
svchost.exe,0,0,0,14968,unknown,medium
msedgewebview2.exe,0,0,72,14858,low,medium
IntelCpHDCPSvc.exe,0,0,0,14968,unknown,medium
svchost.exe,0,0,0,14968,unknown,medium
svchost.exe,0,0,0,14968,unknown,medium
svchost.exe,0,0,0,14968,unknown,medium
msedgewebview2.exe,0,0,100,11149,low,medium
FileCoAuth.exe,0,0,0,13543,low,medium
svchost.exe,0,0,0,14968,unknown,medium
svchost.exe,0,0,0,14969,unknown,medium
svchost.exe,0,0,0,14969,unknown,medium
svchost.exe,0,0,10,14969,unknown,medium
IntelCpHeciSvc.exe,0,0,0,14969,unknown,medium
smartscreen.exe,0,0,0,92,low,medium
svchost.exe,0,0,0,14968,unknown,medium
svchost.exe,0,0,0,14969,unknown,medium
svchost.exe,0,0,0,14969,unknown,medium
svchost.exe,0,0,7,14843,low,medium
